sal_5_lc2vs0_iate,nation
-43128.224557383,5.0
-59594.52586530019,4.0
-40536.54875358819,2.0
-33748.16583940909,5.0
-57001.55147638193,4.0
-57921.965568468004,1.0
-29194.354847583214,1.0
-29233.0941249408,1.0
-41089.10855675669,5.0
-51515.744350004796,1.0
-35726.56830128621,3.0
-55617.922899304875,1.0
-45179.24933312709,3.0
-52583.51013381921,1.0
-40987.06323109731,3.0
-62057.24582342802,1.0
-51023.417170484056,3.0
-29245.180382453644,1.0
-42272.3721533256,1.0
-54456.114402048195,2.0
-35389.681282716716,1.0
-53984.218501884665,1.0
-52581.31617701188,1.0
-47253.05070474728,1.0
-33367.59400298639,1.0
-29900.09900756424,1.0
-49597.80915013063,3.0
-54768.8289321431,3.0
-36447.22847971148,1.0
-35950.02780735348,1.0
-31589.06575877381,1.0
-38766.65400398582,1.0
-39733.905611522525,4.0
-31905.231416335595,5.0
-29163.573941335013,1.0
-60668.24775782879,2.0
-32656.354922438935,3.0
-31697.37927449724,4.0
-61805.224440487276,2.0
-31549.371916569777,3.0
-42277.77784816994,4.0
-41611.53545441438,1.0
-31088.775240082596,1.0
-29245.933176019087,2.0
-35319.681160190026,1.0
-48562.484330278676,1.0
-31672.591743038258,2.0
-41367.91286004792,1.0
-60369.05867978756,5.0
-41537.56480516104,1.0
-35386.27948603261,1.0
-30785.93981490973,1.0
-45221.364325060305,1.0
-49200.80920559433,2.0
