sal_8_lc2vs0_iate,empl_x0
-20291.48834324628,89.0
-22434.187618424363,57.0
-9353.31691914477,62.0
-7831.839942361965,59.0
-13512.688043012879,45.0
-16176.615820073323,93.0
-7670.023644953721,55.0
-23606.30302717988,107.0
-13379.64873107824,103.0
-9671.431773869392,69.0
-8992.717943963014,56.0
-21449.824797472014,66.0
-13716.201832227061,85.0
-11771.248044573214,46.0
-8620.71061032248,36.0
-15323.568341873619,79.0
-6992.530111402157,47.0
-21834.91442622012,52.0
-11376.575681212627,105.0
-29822.499073066658,59.0
-15442.855730921114,55.0
-7659.3009408277085,74.0
-24849.80756316636,70.0
-12184.363788720168,96.0
-11892.219912125578,70.0
-17148.71781251095,48.0
-11492.41267372528,73.0
-10929.08243205741,73.0
-10347.862411657696,104.0
-27569.86194007726,103.0
-11270.325877669156,74.0
-11104.92683704602,27.0
-8136.376869903757,56.0
-16972.31683717227,81.0
-17913.213621510404,78.0
-24626.341404576637,63.0
-8199.919254994404,95.0
-21498.187481777986,93.0
-16521.720303271664,79.0
-18669.783011428222,97.0
-22443.66474111122,37.0
-7950.755868989583,54.0
-17719.169761489542,72.0
-11962.931612549233,91.0
-9291.956946440634,75.0
-13466.115153980427,71.0
-18158.626959190577,42.0
-16328.515767458171,46.0
-30131.979729125058,108.0
-23658.52842511888,46.0
-11729.56128528251,68.0
-21815.320091662605,44.0
-16410.813660433745,68.0
-24610.50907601786,72.0
-28949.604786062697,76.0
-9644.422243889214,87.0
-19665.419685633693,67.0
-18656.293124640473,48.0
-11039.266914132411,44.0
-18529.26829839514,94.0
-6566.741510245517,22.0
-16791.195370123656,52.0
-14348.381306009225,87.0
-21161.723122727006,90.0
-25833.187856743705,93.0
-16377.328964084963,48.0
-21337.709551562664,34.0
-17376.177990094828,102.0
-24035.118722347444,58.0
-12158.687681012456,86.0
-20057.9150966921,77.0
-21011.43988435981,42.0
-19997.691107275885,67.0
-20057.897620968764,68.0
-11478.166527737007,90.0
-11372.517984019185,89.0
-21322.749443258937,60.0
-11039.681965616055,42.0
-20267.987929298695,63.0
-21216.01440141595,54.0
-10183.024469677584,71.0
-25454.88806454342,79.0
-15076.001905050478,79.0
-9351.929389624242,42.0
-15232.533427748924,101.0
-6718.049066654358,42.0
-12079.035842228492,45.0
-19073.591005142836,71.0
-5837.420879740161,49.0
-7812.413610850513,47.0
-20432.624102026515,95.0
-25031.70791821177,78.0
-27503.096657578422,51.0
-12454.223894889392,49.0
-24194.36224062479,86.0
-20465.77877383635,67.0
-8540.880469845717,61.0
-13529.857529513203,46.0
-18551.76336537973,34.0
-16561.064201004323,69.0
-15797.8109472135,88.0
-7061.378332322016,64.0
-8444.192161542418,93.0
-22354.819182371455,59.0
-23314.823736539933,50.0
-19961.490071847467,58.0
-9036.355889384764,84.0
-20105.31792754472,62.0
-30142.25936121442,59.0
-16249.435776698258,71.0
-18614.69210130799,90.0
-21911.74852074333,54.0
-7069.396846874376,79.0
-10485.18811526307,69.0
-15680.095768292751,59.0
-18630.553355740558,69.0
-17432.175358931952,47.0
-12173.036810505198,48.0
-19613.74381216648,79.0
-8917.57273987204,63.0
-9982.043652055929,33.0
-18244.446663476167,42.0
-13125.722098046188,78.0
-7853.792153627972,61.0
-8176.752174990059,78.0
-9204.666673602536,109.0
-11156.89767444427,80.0
-11692.365565653938,65.0
-19897.496220592235,51.0
-10528.978829132182,79.0
-14558.249669803527,41.0
-6618.114745753651,100.0
-7928.3606234437875,44.0
-29379.308876183582,90.0
-9042.487447726435,69.0
-18976.405877130637,85.0
-13349.834422691914,41.0
-6550.892379328758,44.0
-7631.215681909119,73.0
-9616.924816880979,61.0
-11523.962949023438,83.0
-17788.53988781189,97.0
-10657.73218722264,58.0
-23378.856548478507,102.0
-11166.491936170412,45.0
-24713.816999222832,98.0
-11801.932054868625,60.0
-8935.8726799029,62.0
-6655.960689503577,35.0
-16426.907183273368,57.0
-14864.419278952706,38.0
-16417.955434719053,72.0
-14166.0613822591,48.0
-16967.116482182835,88.0
-8406.855443428884,53.0
-12857.629116688444,94.0
-12897.517784002552,77.0
-9250.890636010368,35.0
-9696.721982080058,70.0
-13258.083074957338,79.0
-7019.802802986253,57.0
-14670.4276101835,87.0
-18761.218791912615,76.0
-16119.242823718821,62.0
-14763.865428999346,97.0
-16280.29703407461,50.0
-24995.05994471138,88.0
-8234.750330198882,53.0
-7045.172761854934,56.0
-10384.851638030133,86.0
-17383.14495532973,70.0
-10285.468691582988,72.0
-9434.986029230735,26.0
-17849.281179936945,97.0
-22587.153487722215,111.0
-5953.347157483443,89.0
-12213.687679140528,54.0
-9563.531115907157,71.0
-19405.8329617728,74.0
-13982.612021861112,76.0
-15434.383153742247,75.0
-8283.82791481257,49.0
-12895.48657858582,90.0
-17509.535806687207,69.0
-12140.764019666949,74.0
-13176.321156149188,73.0
-15329.023708520954,87.0
-12492.068715088992,76.0
-11118.438167302302,43.0
-18604.302968970605,91.0
-15119.7027907746,59.0
-8444.647883666228,47.0
-23189.35875513973,86.0
-28869.839924948064,92.0
-9136.078609144486,43.0
-9698.311145112679,96.0
-8965.459306396733,63.0
-16183.342295927412,98.0
-10505.564586118157,90.0
-14641.233782098607,71.0
-15882.352970679709,54.0
-14352.005541435137,24.0
-10044.574131438181,76.0
-32405.42241882872,66.0
-12247.458648889764,55.0
-14535.931638102244,86.0
-15677.808947816473,99.0
-25789.22377400623,64.0
-12459.55650332567,64.0
-16400.28571800277,95.0
-22828.323024655703,40.0
-17054.36955085604,64.0
-12658.169942281367,62.0
-10994.598815241457,93.0
-11496.31965241046,37.0
-14561.636259109906,101.0
-11009.726528380712,101.0
-9422.277018600265,48.0
-7933.369786543117,58.0
-14274.55871751111,47.0
-8817.180077731045,65.0
-6302.810169912216,64.0
-7871.719672930426,39.0
-29970.818373228703,62.0
-9428.105588972096,90.0
-7167.479878650126,53.0
-21433.406960573142,78.0
-10581.492376773345,88.0
-19953.062647662093,86.0
-9603.717519615664,76.0
-13564.655374290272,62.0
-8841.543438808332,66.0
-17415.903415470486,89.0
-11590.488158396614,79.0
-9712.231596946307,69.0
