empl_chge_lc1vs0_iate,emplx2_2
-0.5961923099396981,2.0
-0.10553987004858495,2.0
-0.21099170735163633,2.0
-0.3563565900196177,3.0
1.3016146754106195,1.0
0.8849785844763421,1.0
-0.06565299988685591,2.0
-0.7051134384838462,1.0
1.3158918914482276,2.0
-0.13008277196577012,2.0
0.015127648642702773,2.0
-0.3841259467723968,2.0
-0.27751305316180036,2.0
-0.7062829516326847,2.0
-0.005542499125697153,2.0
-0.8528785576958,2.0
0.2935917412554222,1.0
-0.010944649829708608,2.0
-0.6686793961556499,2.0
0.2641117466090226,2.0
-0.11116278908328242,2.0
-0.5708725786199833,2.0
-0.10811366908599698,2.0
0.17049798629697177,2.0
0.020263595126679523,2.0
-0.5291191689914834,2.0
2.3020800413610645,2.0
-0.4003292091782346,2.0
0.9691758439126232,2.0
-0.6422315910703945,2.0
-0.9957924762223234,2.0
2.0691262705291895,2.0
1.4916862526217647,2.0
1.200564988105522,2.0
-0.25252602188293954,2.0
-0.513178703163545,2.0
-1.2763997385251429,2.0
1.715507654083009,2.0
-0.740377684262796,2.0
-0.19536216567680867,2.0
-0.5531037334820798,2.0
0.37084575549857357,2.0
-0.7560437009167638,2.0
0.09859463796251544,2.0
-0.46746495986988035,1.0
-0.4841959766193621,2.0
-0.44174224507161997,2.0
-0.22928763968670327,2.0
0.5726615699889728,2.0
-0.14532665661089156,2.0
1.7394771850321393,2.0
-0.6691517677579297,2.0
1.7173724582150478,2.0
1.873372924493971,2.0
1.0708606211295062,2.0
0.5147099373219797,2.0
0.245100617901289,2.0
-1.1946786256295363,2.0
-0.4576190162517755,2.0
-0.409126018950853,2.0
-0.055950423459310894,2.0
0.42491117172671633,2.0
-0.018979431328124907,2.0
0.4460880866208458,2.0
0.9656668174165871,2.0
-0.6538601158644618,2.0
-0.40731562240435937,2.0
-0.702107212238042,2.0
1.0510401358725285,2.0
0.9391489371761625,1.0
1.4842085814621637,2.0
-0.7297274093427916,2.0
-0.17698753509411375,2.0
-0.6494853521967684,1.0
-0.49697180878936703,2.0
0.579779157236435,2.0
-0.34012482742224337,2.0
-0.06900128627017249,1.0
0.4596523299276889,2.0
