upper,effects,lower,ate,ate_l,ate_u
-10005.972174418826,-15169.858577860208,-20333.744981301592,-7232.653719973279,-5615.921863886084,-8849.385576060475
-9991.477047352626,-15153.919655025522,-20316.362262698418,-7232.653719973279,-5615.921863886084,-8849.385576060475
-9984.126079631496,-15138.0152974763,-20291.904515321105,-7232.653719973279,-5615.921863886084,-8849.385576060475
-9986.226712592947,-15122.130145605508,-20258.03357861807,-7232.653719973279,-5615.921863886084,-8849.385576060475
-9995.09556426454,-15106.38589948609,-20217.676234707636,-7232.653719973279,-5615.921863886084,-8849.385576060475
-9959.499747099368,-15090.78019585129,-20222.06064460321,-7232.653719973279,-5615.921863886084,-8849.385576060475
-9947.830174475193,-15075.801513655619,-20203.772852836046,-7232.653719973279,-5615.921863886084,-8849.385576060475
-9936.73525045587,-15061.953809679975,-20187.17236890408,-7232.653719973279,-5615.921863886084,-8849.385576060475
-9902.657964825225,-15048.129388134359,-20193.600811443495,-7232.653719973279,-5615.921863886084,-8849.385576060475
-9905.170335287601,-15034.672108823414,-20164.173882359224,-7232.653719973279,-5615.921863886084,-8849.385576060475
-9875.10675168478,-15021.232019304367,-20167.357286923954,-7232.653719973279,-5615.921863886084,-8849.385576060475
-9877.45834158378,-15007.874834494894,-20138.29132740601,-7232.653719973279,-5615.921863886084,-8849.385576060475
-9858.350394139587,-14995.001221054443,-20131.6520479693,-7232.653719973279,-5615.921863886084,-8849.385576060475
-9854.509756917658,-14982.206831483558,-20109.903906049458,-7232.653719973279,-5615.921863886084,-8849.385576060475
-9820.89335311487,-14969.46085479075,-20118.02835646663,-7232.653719973279,-5615.921863886084,-8849.385576060475
-9818.382864989995,-14957.057607008785,-20095.732349027574,-7232.653719973279,-5615.921863886084,-8849.385576060475
-9798.129375442253,-14944.608765165065,-20091.088154887875,-7232.653719973279,-5615.921863886084,-8849.385576060475
-9799.93781642307,-14932.12620891534,-20064.314601407612,-7232.653719973279,-5615.921863886084,-8849.385576060475
-9789.656057306003,-14919.646312582445,-20049.636567858885,-7232.653719973279,-5615.921863886084,-8849.385576060475
-9768.521195419173,-14907.345285266414,-20046.169375113655,-7232.653719973279,-5615.921863886084,-8849.385576060475
-9746.86597906618,-14894.942216551322,-20043.018454036464,-7232.653719973279,-5615.921863886084,-8849.385576060475
-9761.192408146188,-14882.149574922874,-20003.10674169956,-7232.653719973279,-5615.921863886084,-8849.385576060475
-9745.617259204997,-14869.414145852093,-19993.211032499188,-7232.653719973279,-5615.921863886084,-8849.385576060475
-9775.965390776713,-14856.793900167364,-19937.622409558015,-7232.653719973279,-5615.921863886084,-8849.385576060475
-9760.2027106084,-14844.064899073323,-19927.927087538243,-7232.653719973279,-5615.921863886084,-8849.385576060475
-9742.067734458444,-14831.146009722854,-19920.224284987264,-7232.653719973279,-5615.921863886084,-8849.385576060475
-9729.112514195007,-14818.19629495855,-19907.280075722094,-7232.653719973279,-5615.921863886084,-8849.385576060475
-9692.71193395285,-14805.147960976987,-19917.583988001123,-7232.653719973279,-5615.921863886084,-8849.385576060475
-9698.916172761259,-14791.939160093392,-19884.962147425525,-7232.653719973279,-5615.921863886084,-8849.385576060475
-9689.602438534774,-14778.863255299855,-19868.124072064937,-7232.653719973279,-5615.921863886084,-8849.385576060475
-9681.224788888032,-14765.719932855187,-19850.215076822344,-7232.653719973279,-5615.921863886084,-8849.385576060475
-9661.969093122174,-14752.655318316823,-19843.341543511473,-7232.653719973279,-5615.921863886084,-8849.385576060475
-9644.130719658817,-14739.947506011904,-19835.76429236499,-7232.653719973279,-5615.921863886084,-8849.385576060475
-9609.627683625462,-14727.111751620621,-19844.59581961578,-7232.653719973279,-5615.921863886084,-8849.385576060475
-9594.081602125574,-14714.44782644772,-19834.814050769866,-7232.653719973279,-5615.921863886084,-8849.385576060475
-9583.484070312832,-14701.784399753566,-19820.0847291943,-7232.653719973279,-5615.921863886084,-8849.385576060475
-9558.01448277888,-14689.004510034729,-19819.99453729058,-7232.653719973279,-5615.921863886084,-8849.385576060475
-9530.229043390456,-14676.39767449977,-19822.566305609085,-7232.653719973279,-5615.921863886084,-8849.385576060475
-9556.035415183967,-14663.842908525849,-19771.65040186773,-7232.653719973279,-5615.921863886084,-8849.385576060475
