sal_5_lc1vs0_iate,nation
-2574.822481380237,1.0
-12958.90561645299,2.0
-17599.018427808507,1.0
-5633.042892020723,1.0
-6712.689503209069,5.0
-16884.738406858236,2.0
-7996.875601155018,1.0
-4906.1753400324615,1.0
-10183.531054071153,1.0
-2708.310705714659,2.0
-4090.266316957368,1.0
-2896.919177488162,1.0
-12978.694238592525,1.0
-13259.67680178814,1.0
-4054.29235849175,2.0
-624.0661145774739,1.0
-8458.930668770165,1.0
-12038.068459380322,1.0
-5643.336072980343,1.0
-17225.05635714509,5.0
-1152.0123407439787,2.0
-15019.42895169032,1.0
-14543.275187073285,1.0
-3979.8459553914436,3.0
-3895.3232498644193,5.0
-12182.342200366005,1.0
-3886.976804821592,1.0
-2223.1470193575115,1.0
-11267.125630904295,1.0
-3981.8915574427383,1.0
-11276.653765600404,1.0
-1724.377841324742,2.0
-9252.892874945275,2.0
-6684.553286026645,1.0
-2307.330972211616,4.0
-2050.853312794703,1.0
-3780.9576128907283,2.0
-3631.968993716496,5.0
-4886.813367025896,1.0
-16221.678359268431,1.0
-10740.526462293079,4.0
-22268.388129156232,1.0
-10222.053646572109,1.0
-16902.848513353645,1.0
-16689.022534471686,1.0
-3273.636651935459,1.0
-5946.2858061147945,2.0
-3627.670664141722,1.0
-3737.5302787580495,2.0
-4447.539683616047,2.0
-2911.8286828599753,1.0
-6671.510957755454,1.0
-7569.2613458910755,1.0
-2513.132192171881,1.0
-12302.66375825393,2.0
-7577.144307976973,1.0
-1453.1654302397,2.0
-17004.18653411472,5.0
-2779.6142132976474,1.0
-16073.36069869959,1.0
-13036.52144855855,1.0
-7659.885289178892,5.0
-4634.3175920020585,2.0
-2712.2382615550214,1.0
-19577.521252174432,1.0
-3288.369106441334,1.0
-5280.287621539489,1.0
-4688.873960163921,4.0
-1487.7801348668927,2.0
-1852.9129803078008,1.0
-398.64107144562877,1.0
-11975.028031263691,1.0
-6127.567517563585,2.0
-4786.147510950349,1.0
-12016.423706902566,1.0
-11925.949251789818,1.0
-3245.305514089385,1.0
-11850.580665486199,2.0
-2923.607767894455,3.0
-5360.969511716348,1.0
-2921.1116758991648,5.0
-2978.595089613631,1.0
-19358.136115125257,1.0
-4177.766757650356,4.0
-10938.316736140634,1.0
-6936.723442224214,2.0
-4346.239964119068,5.0
-4526.271240295959,1.0
-2888.2111018537034,1.0
-4595.016346629131,1.0
-12717.22939232424,5.0
-6534.631452190549,1.0
-19830.591797920577,2.0
-2820.874358316277,1.0
-16891.137007357585,5.0
-5591.528865068257,4.0
-5218.463723390244,1.0
-4297.6297076332185,2.0
-15379.695100310426,1.0
-1567.7040985973235,2.0
-16566.008759465345,1.0
-3691.6685478916297,4.0
-6658.229582896785,1.0
-2438.1879736952656,1.0
-2788.236078225749,1.0
-2574.747610274615,1.0
-3718.935971245457,1.0
-12497.271092977258,1.0
-4796.6409326723315,1.0
-3208.665542623443,3.0
-2052.026927443425,1.0
-3634.7892034128545,5.0
-3354.460614154872,1.0
-19175.56671273096,4.0
-3532.5001479722723,1.0
-21373.55601568712,1.0
-5009.764669654252,5.0
-6462.105784255165,1.0
-3771.93076310791,1.0
-669.681671385224,5.0
-2839.4841363060627,2.0
-1040.9798471040494,3.0
-13659.711340893238,5.0
-15012.743369254567,1.0
-4975.462316178079,1.0
-9716.300734107415,2.0
-6708.582185150228,2.0
-12828.905847919847,4.0
-3450.907027527346,1.0
-2462.150953720444,1.0
-3460.585047766599,1.0
-4965.70703478195,1.0
-16544.042872383816,1.0
-3978.2841962369175,1.0
-9799.372923960374,4.0
-12768.746009800194,1.0
-4932.433045674065,4.0
-2606.97463627415,5.0
-2076.457964296653,4.0
-2921.191166047226,2.0
-5775.830963952376,5.0
-17214.168099541504,4.0
-20785.98186833369,1.0
-2108.4213198838097,1.0
-3006.805814000665,1.0
-5538.972119971928,5.0
-15271.413898390287,1.0
-13697.143429152911,3.0
-3349.5278462443785,1.0
-5934.313492641392,3.0
-4028.1001695785453,1.0
-6341.70517968374,3.0
-4470.23257441635,1.0
-3923.577522577667,3.0
-4339.261662561848,1.0
-2759.3251046788173,1.0
-8831.649229559349,2.0
-10138.037770961306,1.0
-10465.247182138137,1.0
-14279.165541873932,1.0
-10806.892268572643,1.0
-7724.32929744116,1.0
-4762.5286161911945,1.0
-1437.103143492479,3.0
-13703.09983552956,3.0
-15504.356166998277,1.0
-4264.432546139044,1.0
-3883.254222244783,1.0
-2845.508709338541,1.0
-6055.931118818822,4.0
-10965.363538177719,5.0
-2636.522480820586,1.0
-7374.322584005469,2.0
-11140.405763941508,3.0
