sal_3_lc2vs0_iate,empl_x0
-24622.204056315008,51.0
-33841.5201794802,104.0
-18706.582763420585,56.0
-23064.00248450866,96.0
-17853.89375764822,69.0
-31990.8057558296,96.0
-34414.63114616088,66.0
-38696.85435655194,75.0
-31708.49710363929,44.0
-26509.63120082713,94.0
-23862.593904109144,52.0
-20823.587161951527,66.0
-22149.85580992565,46.0
-20804.271863633257,46.0
-24593.472112303854,76.0
-18427.60959515751,74.0
-21704.877079142465,48.0
-17295.763617252385,42.0
-24105.316370264787,90.0
-35290.5435402549,56.0
-32863.30315736786,90.0
-30995.5719774669,78.0
-33917.460181114075,97.0
-17377.566806081013,72.0
-16830.839846955034,47.0
-32126.146338209466,37.0
-17780.407029635917,89.0
-29941.34515704304,63.0
-32229.28158193575,81.0
-29546.432626699865,112.0
-21835.481728016268,56.0
-23468.200255225034,73.0
-38115.154761595244,85.0
-24811.559326158524,111.0
-33102.91861511736,62.0
-16837.574476877904,54.0
-24231.384110664687,69.0
-17562.83241462779,40.0
-21698.26530850362,48.0
-28108.57771439353,44.0
-34548.17527483622,35.0
-19147.351614342377,87.0
-22594.121562215045,71.0
-35659.56125445056,69.0
-31252.403261208736,63.0
-31822.726412354037,95.0
-36384.942654892046,90.0
-20282.118564069744,56.0
-25806.61890244519,84.0
-29258.954306932643,39.0
-32382.975194771858,50.0
-29673.74369886425,55.0
-24351.39134397173,55.0
-17561.8684366469,26.0
-25959.019187949278,48.0
-30101.129578727487,75.0
-36089.10773334112,54.0
-26709.359316208505,54.0
-20572.3078770536,79.0
-21030.28255006672,51.0
-24197.61140857963,53.0
-23202.16207505909,56.0
-16891.878507712685,27.0
-31801.437944558376,83.0
-33025.677117876585,60.0
-18534.441465393196,58.0
-21973.739011940896,65.0
-24574.08467265581,89.0
-35220.05767374179,57.0
-18172.829376982947,62.0
-20666.90755846084,59.0
-31465.393993875135,45.0
-23740.642598719533,93.0
-17504.37515263402,55.0
-32386.81143042783,107.0
-20422.860055340792,103.0
-19842.166912322216,69.0
-22895.012358950833,56.0
-34415.131977460245,66.0
-25516.899764170346,85.0
-27933.22702016573,46.0
-18670.535293125322,36.0
-30251.458806614293,79.0
-24552.78059330718,47.0
-33870.548549177576,52.0
-17539.59252343966,105.0
-37320.758674952915,59.0
-32112.32895903193,55.0
-17569.757961229458,74.0
-36667.52106492258,70.0
-19059.78874716233,96.0
-24614.036245125884,70.0
-33834.17869533495,48.0
-22850.53084253383,73.0
-28779.870145661655,73.0
-18337.7605260544,104.0
-35627.19278902715,103.0
-27477.678796554836,74.0
-25597.436318539043,27.0
