empl_ttl_lc2vs0_iate,unem_x0
-10.12507615957171,22.0
-10.308860257809695,18.0
-9.278713394623173,21.0
-10.343891354582853,2.0
-9.072119261795532,2.0
-9.99749818134908,6.0
-9.650472438319449,3.0
-10.186195716804841,7.0
-11.239191081270917,22.0
-10.052550050108115,8.0
-11.319232865416705,14.0
-10.277566862588529,11.0
-9.850861424950569,3.0
-9.529511668558122,4.0
-9.899234444330256,13.0
-9.60729731366569,15.0
-8.210014158216588,24.0
-8.998616184015921,24.0
-10.117086198273814,6.0
-9.892867151518512,6.0
-9.769210733344323,2.0
-11.212466530530243,0.0
-9.821117955320934,24.0
-9.963884493977568,1.0
-10.70773529589591,8.0
-10.713253321617966,1.0
-9.966951164301438,8.0
-9.915732129663564,21.0
-9.979162484858412,7.0
-9.612063959168342,6.0
-10.365405562693457,23.0
-12.214689191039987,22.0
-10.566054947364437,5.0
-9.407838168639335,2.0
-8.957684803005925,20.0
-9.612304881043688,23.0
-9.387331072603118,3.0
-10.646495124844531,4.0
-11.292344516488516,5.0
-9.794923873546377,12.0
-9.24285997907633,13.0
-11.523892890295201,5.0
-12.138388604890356,13.0
-11.171512821280032,0.0
-8.975152375507362,13.0
-9.25877260197686,11.0
-11.913030827496831,13.0
-11.99056437056817,10.0
-11.729905950833915,2.0
-10.112496161433722,1.0
-9.967801471435948,4.0
-12.484300509287127,11.0
-10.163563198446896,4.0
-11.12071517194237,2.0
-9.328434195607151,9.0
-10.242891783414933,20.0
-9.533324311384074,22.0
-9.95458537846962,10.0
-9.061191821674054,0.0
-11.83636120959467,3.0
-11.048037746669623,4.0
-11.347153241684467,3.0
-8.70120848337028,24.0
-9.22087798084018,13.0
-9.285561859168684,14.0
-11.276573656502567,9.0
-9.708783408601477,12.0
-11.601893989222182,8.0
-9.860234948796622,24.0
-9.843835844713084,21.0
-10.572544905287893,15.0
-10.345910066438282,18.0
-9.13944811969491,6.0
-11.567315770288541,1.0
-11.036799649584362,23.0
-10.27976365400421,18.0
-10.224583412182996,3.0
-10.19416693778968,13.0
-12.419353951532415,17.0
-11.26628063240242,3.0
-11.60958771076912,23.0
-10.464519503794646,10.0
-10.24780553595267,8.0
-10.701377884624291,9.0
-12.506409817642517,10.0
-11.759930074080579,11.0
-10.243297447831035,20.0
-9.818791307815214,2.0
-10.186589940733658,19.0
-10.731094784230303,3.0
-9.960626322035056,18.0
-9.737532124114727,17.0
-9.000267522652056,2.0
-10.295186843897898,9.0
-10.983729835227985,3.0
-12.442146287752301,23.0
-10.663187177021632,3.0
-11.03597390248596,21.0
-10.804933779084546,16.0
-10.031642738304136,6.0
-10.029992893739678,13.0
-12.022949477599768,22.0
-11.291018424553352,13.0
-10.024236267478932,16.0
-11.576770931027557,17.0
-9.421725018689576,3.0
-9.244151805981407,13.0
-11.478649612632424,14.0
-9.601273533240455,6.0
-8.721414536830434,14.0
-10.631053688356786,16.0
-9.467723181704793,11.0
-9.75503661473128,15.0
-10.340554835487826,15.0
-11.455707248655298,9.0
-9.52670477368727,5.0
-10.331404813145944,6.0
-9.508857686181331,6.0
-9.558758738322982,3.0
-10.662086612939955,2.0
-8.513714725137358,21.0
-9.669824250690256,22.0
-11.764934291574317,18.0
-9.234338545828312,8.0
-11.316085315760274,12.0
-10.610018529753255,6.0
-9.79185806516216,2.0
-9.822481105489409,5.0
-9.422499423127217,3.0
-9.492296397023836,24.0
-9.107777763791322,18.0
-9.696867619126602,21.0
-10.082666080445987,1.0
-11.832117518131552,18.0
-10.535941497196843,3.0
-12.349939130877807,21.0
-11.89440095452839,8.0
-11.09887164011603,5.0
-9.29048775432777,19.0
-10.239689410337732,3.0
-9.398495156738965,17.0
-9.51985510268806,9.0
-11.362431091506572,15.0
-9.825278080563832,11.0
-9.711456638854283,18.0
-9.457121463090903,5.0
-10.417132375366425,18.0
-11.693423226323425,15.0
-12.638975801623115,18.0
-9.461171334758724,19.0
-10.434778517870932,5.0
-9.58230855965826,19.0
-11.36206200067846,3.0
-9.480562479772685,11.0
-9.240448387340521,5.0
-9.395664468000092,17.0
-9.991024140749099,19.0
-9.430569280271536,14.0
-11.833543304420589,5.0
-10.759163386606888,20.0
-10.90053993550518,5.0
-10.007366653541023,22.0
-11.07096934517013,20.0
-10.248503049680311,23.0
-10.475207760038558,2.0
-9.472617426416843,11.0
-10.725080423523883,1.0
-10.506531142600863,13.0
-11.316292976355054,15.0
-11.090164762086104,6.0
-9.837530497951049,1.0
-10.092473782920962,19.0
-10.227634752658354,7.0
-9.499877636550806,6.0
-10.686243589144102,15.0
-8.656681089746284,1.0
-11.145045034169232,9.0
-9.574280452602178,17.0
-11.669051408797118,4.0
-11.83697813120897,14.0
-9.96941097606684,6.0
-11.514418598935002,14.0
-9.3456210037637,0.0
-9.724046255135164,10.0
-9.246881462862664,10.0
-9.852091740683433,1.0
-10.064522313830789,11.0
-10.244026046302219,20.0
-10.25803825473229,10.0
-10.110200501720259,1.0
-9.783931891747526,11.0
-10.504214094332553,1.0
-10.141602286213136,5.0
-8.768218733047355,8.0
-10.13594463493863,1.0
-8.308395981443638,2.0
