empl_ttl_lc1vs0_iate,sex
-0.025329566356314892,1.0
-5.012393344373582,2.0
4.378641969443402,1.0
1.609954263738139,1.0
0.611052961685445,1.0
-3.665150800828557,2.0
5.134359202954388,1.0
4.377760788802407,1.0
-4.354843196838144,2.0
5.274377302486443,1.0
3.9332243352260687,1.0
6.2059200732994455,1.0
-3.813619515130979,2.0
2.1361532416704545,1.0
3.3038785577059007,1.0
-3.2368329888208316,1.0
-2.8972359759250725,2.0
3.5418304382233976,1.0
-1.5094748912137341,1.0
-2.54870665606373,2.0
-0.41987172819249174,1.0
-4.110053276803089,2.0
-3.3327474394673615,2.0
-2.992611157644661,2.0
2.056322111350471,1.0
-0.3182059289320449,1.0
-2.870447577731101,2.0
-4.938661338665396,2.0
-0.36220321557425716,1.0
0.7500169374882,1.0
-2.2571754929607573,2.0
4.555288226421181,1.0
